id,title,family,kind,sections,script_lines,primary_file,all_exports,duration_s,dimensions,variants,segment,credits,release_eligibility,editor_notes
TERM-04,War-heavy run with chained-war highlight,captures,capture,1 11,39 544 555,assets/captures/TERM-04/exports/framed-end.png,"framed-end.png, framed-highlight.png, framed-start.png, framed.png",,1920x1080,"raw, framed",,,cleared,"Stills from real captures, not screen recordings; live recording is handoff H01."
CARD-01,Opening title: Win95 message box,cards,motion,1,41,assets/cards/CARD-01/exports/preview.mp4,"contact-sheet.png, ok-click.png, poster.png, preview.mp4, title-hold.png",7,1920x1080,"title-hold, ok-click",,,cleared,
HIST-02,VB 4.0 IDE,historical,archive,1 3,49 130,assets/historical/HIST-02/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,,cleared,
XTRA-01,Visual Basic Programmer's Journal cover,historical,archive,1,49,assets/historical/XTRA-01/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Visual Basic Programmer's Journal, March 1996 (Vol. 6, No. 3), © Fawcette Technical Publications. Scan via Internet Archive.",cleared,
XTRA-02,Period MSDN advertisement,historical,archive,1,49,assets/historical/XTRA-02/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Microsoft Developer Network advertisement, Boardwatch Magazine, June 1996, p. 97. © 1996 Microsoft Corporation. Scan via Internet Archive (boardwatch-1996-06).",cleared,
TERM-02,Primary complete War simulation,captures,capture,1 11 16,529 559 717 729 519,assets/captures/TERM-02/exports/framed-first-war.png,"framed-first-war.png, framed-start.png, framed.png",,1920x1080,"raw, framed",,,cleared,"Stills from real captures, not screen recordings; live recording is handoff H01."
ASM-01,"Mix: quieter music throughout, and effects that duck the bed to the floor",ops,support,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,,,,,,,,,support,
ASM-02,"Bed transitions: fade to silence, a gap, then the next bed; no crossfades",ops,support,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,,,,,,,,,support,
ASM-03,"Timeline stabilisation: one visual per beat, no back-and-forth, beat-accurate section 5, code scroll-through in the cold open",ops,support,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,,,report.md,,,,,,support,
CH-01,Chapter 01: Intro: What Even Is Visual Basic?,chapters,motion,1,,assets/chapters/CH-01/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
OPS-01,"Shared visual system, reusable primitives, and deterministic export contract",ops,support,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,,,"capabilities.json, card-atlas.png, report.md, template-contract.md",,1920x1080,shared-system,,,support,Shared card deck and atlas; not a placed asset.
